date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1983-02-28,0.0,0.0,0.0,1.78,40.0,40.0,30.0,20.0,15.0,148.05999755859375,4.7,0.96,204.01,0.018995144176650776,0.015834287706019908
1983-03-31,0.0,0.0,0.0,0.14,7.5,10.0,10.0,10.0,10.0,152.9600067138672,4.55,0.71,204.84,0.033094753721944994,0.0040684280182344615
1983-04-29,0.0,0.0,0.0,0.02,7.5,10.0,10.0,10.0,10.0,164.42999267578125,4.55,0.73,204.84,0.0749868296186091,0.0
1983-05-31,0.0,0.0,0.0,0.02,7.5,10.0,10.0,10.0,10.0,162.38999938964844,4.22,0.72,208.53,-0.01240645488658032,0.018014059753954294
1983-06-30,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,10.0,167.63999938964844,4.17,0.52,209.11,0.032329577065905585,0.0027813743825829016
1983-07-29,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,10.0,162.55999755859375,4.17,0.64,209.11,-0.030303041335899523,0.0
1983-08-31,0.0,0.0,0.0,0.26,0.0,5.0,10.0,10.0,10.0,164.39999389648438,4.3,0.68,210.39,0.011318875280047968,0.006121180240064907
1983-09-30,0.0,0.0,0.0,0.0,3.5,5.0,10.0,15.0,20.0,166.07000732421875,4.19,0.8,213.91,0.010158232905932532,0.01673083321450644
1983-10-31,0.0,0.0,0.0,0.0,3.5,5.0,10.0,15.0,20.0,163.5500030517578,4.19,0.88,215.13,-0.015174349137837568,0.005703333177504552
1983-11-30,0.0,0.0,0.0,0.1,3.5,5.0,10.0,15.0,20.0,166.39999389648438,4.27,0.92,218.32,0.017425807346665965,0.014828243387719044
1983-12-30,0.0,0.0,0.0,0.02,3.5,10.0,10.0,15.0,15.0,164.92999267578125,4.27,0.9,218.32,-0.008834142275375302,0.0
1984-01-31,0.0,0.0,0.0,0.0,3.5,10.0,10.0,15.0,15.0,163.41000366210938,4.28,0.99,222.43,-0.00921596484066948,0.018825577134481557
1984-02-29,0.0,0.0,0.0,0.04,3.5,10.0,10.0,15.0,15.0,157.05999755859375,4.55,1.01,223.23,-0.03885934741575451,0.0035966371442700306
1984-03-30,0.0,0.0,0.0,0.02,1.0,10.0,14.0,15.0,20.0,159.17999267578125,4.55,0.88,223.23,0.013497995352996246,0.0
1984-04-30,0.0,0.0,0.0,0.04,1.0,10.0,14.0,15.0,20.0,160.0500030517578,4.58,0.9,225.57,0.005465576177959781,0.010482462034672775
1984-05-31,0.0,0.0,0.0,0.0,1.0,10.0,14.0,15.0,20.0,150.5500030517578,4.64,0.86,224.26,-0.05935644997724767,-0.005807509863900351
1984-06-29,0.0,0.0,0.0,0.04,5.0,10.0,15.0,20.0,25.0,153.17999267578125,4.64,0.52,224.26,0.017469210034617332,0.0
1984-07-31,1.0,1.0,1.0,0.08,5.0,10.0,15.0,20.0,25.0,150.66000366210938,4.85,0.34,229.74,-0.016451162907453916,0.02443592258985115
1984-08-31,1.0,1.0,1.0,0.1,5.0,10.0,15.0,20.0,25.0,166.67999267578125,4.47,0.2,233.55,0.10633206308424419,0.01658396448158789
1984-09-28,1.0,1.0,1.0,0.18,5.0,10.0,12.5,20.0,30.0,166.10000610351562,4.47,0.23,233.55,-0.003479641215210454,0.0
